label,sub_clado,region,color_flor,pigmento,polimorfismo,multi
Airampoa_corrugata,Opuntia_sl,Sudamerica,NA,NA,NA,NA
Brasiliopuntia_brasiliensis,Opuntia_sl,Sudamerica,NA,NA,NA,NA
Maihueniopsis_ovata,Opuntia_sl,Sudamerica,NA,NA,NA,NA
Miqueliopuntia_miquelii,Opuntia_sl,Sudamerica,NA,NA,NA,NA
Opuntia_abjecta,Humifusa,Norteamerica,yellow,Betaxantinas,No,B
Opuntia_anacantha,Elatae,Sudamerica,yellow or orange,Betaxantinas,Yes,B
Opuntia_arechavaletae,Elatae,Sudamerica,yellow,Betaxantinas,No,B
Opuntia_arenaria,Xerocarpa,Norteamerica,yellow,Betaxantinas,No,B
Opuntia_atrispina,Macrocentra,Norteamerica,yellow,Betaxantinas,No,B
Opuntia_auberi,Nopalea,Norteamerica y Centroamerica,pink,Betacianinas,No,A
Opuntia_aurantiaca,Inderterminada,Sudamerica,yellow or orange,Betaxantinas,Yes,B
Opuntia_aurea,Xerocarpa,Norteamerica,yellow or pink,Betacianinas and Betaxantinas,Yes,A+B
Opuntia_aureispina,Macrocentra,Norteamerica,yellow or orange,Betaxantinas,Yes,B
Opuntia_austrina,Humifusa,Norteamerica,yellow,Betaxantinas,No,B
Opuntia_basilaris,Xerocarpa,Norteamerica,pink or magenta or rarely white,Betacianinas,Yes,A
Opuntia_boldinghii,Nopalea,Sudamerica y Centroamerica,pink,Betacianinas,No,A
Opuntia_bonaerensis,Inderterminada,Sudamerica,orange,Betaxantinas,No,B
Opuntia_bonplandii,Inderterminada,Sudamerica,orange,Betaxantinas,No,B
Opuntia_bravoana,Inderterminada,Norteamerica,yellow,Betaxantinas,No,B
Opuntia_caracassana,Nopalea,Sudamerica,yellow,Betaxantinas,No,B
Opuntia_cespitosa,Humifusa,Norteamerica,yellow with reddish centers,Betacianinas and Betaxantinas,No,A+B
Opuntia_chaffeyi,Rhizomatosa,Norteamerica,yellow,Betaxantinas,No,B
Opuntia_chiangiana,Inderterminada,Norteamerica,yellow,Betaxantinas,No,B
Opuntia_chisosensis,Macrocentra,Norteamerica,yellow,Betaxantinas,No,B
Opuntia_chlorotica,Macrocentra,Norteamerica,yellow,Betaxantinas,No,B
Opuntia_cochenillifera,Nopalea,Norteamerica,pink,Betacianinas,No,A
Opuntia_colubrina,Inderterminada,Sudamerica,yellow,Betaxantinas,No,B
Opuntia_cubensis,Inderterminada,Caribe,yellow,Betaxantinas,No,B
Opuntia_cymochila,Humifusa,Norteamerica,yellow or pink,Betacianinas and Betaxantinas,Yes,A+B
Opuntia_deamii,Inderterminada,Norteamerica y Centroamerica,yellow or orange,Betaxantinas,Yes,B
